"node_id","longitude","latitude"
745,39.9999999999999,61.0000000000001
746,66.5,30.5
747,66.5,30.5
748,71.5,36
749,71.5,36
750,64,26
751,64,26
752,70.5,33.5
753,70.5,33.5
754,39.9999999999999,61.0000000000001
755,39.9999999999999,61.0000000000001
756,64,26
757,64,26
758,70.5,33.5
759,70.5,33.5
760,71.5,36
761,71.5,36
762,64,26
763,64,26
764,1.99999999999999,46
765,1.99999999999999,46
766,1.99999999999999,46
767,1.99999999999999,46
768,66.5,30.5
769,66.5,30.5
770,64,26
771,64,26
772,3.81666561775622e-14,43
773,3.81666561775622e-14,43
774,64,26
775,64,26
776,64,26
777,64,26
778,69,25.5
779,69,25.5
780,39.9999999999999,61.0000000000001
781,39.9999999999999,61.0000000000001
782,1.99999999999999,46
783,1.99999999999999,46
784,39.9999999999999,61.0000000000001
785,39.9999999999999,61.0000000000001
786,39.9999999999999,61.0000000000001
787,39.9999999999999,61.0000000000001
788,1.99999999999999,46
789,1.99999999999999,46
790,3.81666561775622e-14,43
791,3.81666561775622e-14,43
792,1.99999999999999,46
793,1.99999999999999,46
794,1.99999999999999,46
795,1.99999999999999,46
796,64,26
797,64,26
798,39,44
799,39,44
800,64,26
801,64,26
802,39,44
803,39,44
804,39.9999999999999,61.0000000000001
805,39.9999999999999,61.0000000000001
806,39.9999999999999,61.0000000000001
807,39.9999999999999,61.0000000000001
808,69,25.5
809,69,25.5
810,39.9999999999999,61.0000000000001
811,39.9999999999999,61.0000000000001
812,66.5,30.5
813,66.5,30.5
814,39,44
815,39,44
816,3.81666561775622e-14,43
817,3.81666561775622e-14,43
818,1.99999999999999,46
819,1.99999999999999,46
820,64,26
821,64,26
822,1.99999999999999,46
823,1.99999999999999,46
824,1.99999999999999,46
825,1.99999999999999,46
826,1.99999999999999,46
827,1.99999999999999,46
828,1.99999999999999,46
829,1.99999999999999,46
830,64,26
831,64,26
832,66.5,30.5
833,66.5,30.5
834,1.99999999999999,46
835,1.99999999999999,46
836,1.99999999999999,46
837,1.99999999999999,46
838,1.99999999999999,46
839,1.99999999999999,46
840,64,26
841,64,26
842,1.99999999999999,46
843,1.99999999999999,46
844,39.9999999999999,61.0000000000001
845,39.9999999999999,61.0000000000001
846,64,26
847,64,26
848,39.9999999999999,61.0000000000001
849,39.9999999999999,61.0000000000001
850,66.5,30.5
851,66.5,30.5
852,3.81666561775622e-14,43
853,3.81666561775622e-14,43
854,1.99999999999999,46
855,1.99999999999999,46
856,39.9999999999999,61.0000000000001
857,39.9999999999999,61.0000000000001
858,1.99999999999999,46
859,1.99999999999999,46
860,64,26
861,64,26
862,39.9999999999999,61.0000000000001
863,39.9999999999999,61.0000000000001
864,1.99999999999999,46
865,1.99999999999999,46
866,39,44
867,39,44
868,64,26
869,64,26
870,64,26
871,64,26
872,39,44
873,39,44
874,64,26
875,64,26
876,39,44
877,39,44
878,64,26
879,64,26
880,39.9999999999999,61.0000000000001
