"sample_id","sample_region"
"HGDP00082_ERS474548","AS"
"HGDP00258_ERS474456","AS"
"HGDP00258_ERS474456","AS"
"HGDP00315_ERS474500","AS"
"HGDP00315_ERS474500","AS"
"HGDP00052_ERS474532","AS"
"HGDP00052_ERS474532","AS"
"HGDP00074_ERS474544","AS"
"HGDP00074_ERS474544","AS"
"HGDP00185_ERS474471","AS"
"HGDP00185_ERS474471","AS"
"HGDP00072_ERS474543","AS"
"HGDP00072_ERS474543","AS"
"HGDP00192_ERS474475","AS"
"HGDP00192_ERS474475","AS"
"HGDP00244_ERS474451","AS"
"HGDP00244_ERS474451","AS"
"HGDP00277_ERS474486","AS"
"HGDP00277_ERS474486","AS"
"HGDP00412_ERS474428","AS"
"HGDP00412_ERS474428","AS"
"HGDP00092_ERS474552","AS"
"HGDP00092_ERS474552","AS"
"HGDP01358_ERS474652","EU"
"HGDP01358_ERS474652","EU"
"HGDP00228_ERS474443","AS"
"HGDP00228_ERS474443","AS"
"HGDP00264_ERS474459","AS"
"HGDP00264_ERS474459","AS"
"HGDP00290_ERS474492","AS"
"HGDP00290_ERS474492","AS"
"HGDP00330_ERS474505","AS"
"HGDP00330_ERS474505","AS"
"HGDP00003_ERS474508","AS"
"HGDP00003_ERS474508","AS"
"HGDP01359_ERS474653","EU"
"HGDP01359_ERS474653","EU"
"HGDP00417_ERS474429","AS"
"HGDP00417_ERS474429","AS"
"HGDP00025_ERS474519","AS"
"HGDP00025_ERS474519","AS"
"HGDP00139_ERS474563","AS"
"HGDP00139_ERS474563","AS"
"HGDP00536_ERS474647","EU"
"HGDP00536_ERS474647","EU"
"HGDP00539_ERS474650","EU"
"HGDP00539_ERS474650","EU"
"HGDP00205_ERS474480","AS"
"HGDP00205_ERS474480","AS"
"HGDP00183_ERS474470","AS"
"HGDP00183_ERS474470","AS"
"HGDP00402_ERS474426","AS"
"HGDP00402_ERS474426","AS"
"HGDP00169_ERS474463","AS"
"HGDP00169_ERS474463","AS"
"HGDP00080_ERS474547","AS"
"HGDP00080_ERS474547","AS"
"HGDP00096_ERS474554","AS"
"HGDP00096_ERS474554","AS"
"HGDP00015_ERS474514","AS"
"HGDP00015_ERS474514","AS"
"HGDP00141_ERS474565","AS"
"HGDP00141_ERS474565","AS"
"HGDP00879_ERS474598","AS"
"HGDP00879_ERS474598","AS"
"HGDP00086_ERS474549","AS"
"HGDP00086_ERS474549","AS"
"HGDP00298_ERS474493","AS"
"HGDP00298_ERS474493","AS"
"HGDP00146_ERS474569","AS"
"HGDP00146_ERS474569","AS"
"HGDP00251_ERS474454","AS"
"HGDP00251_ERS474454","AS"
"HGDP00902_ERS474621","AS"
"HGDP00902_ERS474621","AS"
"HGDP00150_ERS474572","AS"
"HGDP00150_ERS474572","AS"
"HGDP00226_ERS474442","AS"
"HGDP00226_ERS474442","AS"
"HGDP00309_ERS474497","AS"
"HGDP00309_ERS474497","AS"
"HGDP00153_ERS474574","AS"
"HGDP00153_ERS474574","AS"
"HGDP00519_ERS474631","EU"
"HGDP00519_ERS474631","EU"
"HGDP00512_ERS474624","EU"
"HGDP00512_ERS474624","EU"
"HGDP00088_ERS474550","AS"
"HGDP00088_ERS474550","AS"
"HGDP00145_ERS474568","AS"
"HGDP00145_ERS474568","AS"
"HGDP01357_ERS474651","EU"
"HGDP01357_ERS474651","EU"
